model,horizon,seed,mse_raw,mae_raw,mse_kwh2,mae_kwh,best_epoch,best_val_loss,elapsed_seconds
Transformer,365,42,181785.43115624323,334.0972396867105,50.49595309895645,5.5682873281118415,16,0.4357610046863556,5.962395906448364
Transformer,365,52,171823.95150680485,319.43707823493594,47.72887541855692,5.323951303915599,55,0.39665621519088745,7.280817031860352
Transformer,365,62,182333.73883148405,326.1864393068215,50.64826078652335,5.436440655113692,23,0.43287020921707153,4.3554463386535645
Transformer,365,72,186545.9642158626,329.17159731579136,51.81832339329518,5.486193288596522,16,0.43303224444389343,3.806108236312866
Transformer,365,82,170206.70385527815,318.3607390251967,47.279639959799496,5.306012317086613,18,0.4381731450557709,3.9628424644470215
