epoch,train_loss,val_loss,learning_rate,fusion_weight
1,0.805932223334793,0.5728269815444946,0.0003,0.500664234161377
2,0.7476334253022837,0.5608699321746826,0.0003,0.5012435913085938
3,0.7029617590497631,0.5494241714477539,0.0003,0.5016916394233704
4,0.661975525146307,0.5371856689453125,0.0003,0.5018945932388306
5,0.625021945136462,0.5233408808708191,0.0003,0.5018155574798584
6,0.5917552917502648,0.5085130929946899,0.0003,0.5014961361885071
7,0.5626144829646561,0.49061906337738037,0.0003,0.5010173916816711
8,0.5364928679872852,0.4730033576488495,0.0003,0.5004612803459167
9,0.5145556210547455,0.45723778009414673,0.0003,0.4998212456703186
10,0.49619075655937195,0.4444692134857178,0.0003,0.49911317229270935
11,0.47961216772249504,0.4337081015110016,0.0003,0.4983915686607361
12,0.46535652021104973,0.4257468581199646,0.0003,0.49770116806030273
13,0.4532890303652416,0.41866761445999146,0.0003,0.49700337648391724
14,0.44301804530528166,0.41648849844932556,0.0003,0.4963380992412567
15,0.4340213673521382,0.41506147384643555,0.0003,0.4957050383090973
16,0.4283724216989769,0.4131823480129242,0.0003,0.49510419368743896
17,0.4224875920502714,0.4118461310863495,0.0003,0.494495153427124
18,0.41453443225039993,0.4114680886268616,0.0003,0.49388495087623596
19,0.40916852572167567,0.4130002558231354,0.0003,0.4933232069015503
20,0.4060295189535895,0.4146443009376526,0.0003,0.4927566349506378
21,0.40089756181073744,0.41508346796035767,0.0003,0.4922120273113251
22,0.39585731011028435,0.4147242307662964,0.0003,0.491632878780365
23,0.3905087917350059,0.4155261814594269,0.0003,0.49110278487205505
24,0.38849497442097625,0.42046618461608887,0.00015,0.49054154753685
25,0.3841440723847973,0.42222967743873596,0.00015,0.4902489185333252
26,0.38381837574086447,0.4234432876110077,0.00015,0.4899332523345947
27,0.3809235876844835,0.42374226450920105,0.00015,0.4896164834499359
28,0.38018856792486916,0.422930508852005,0.00015,0.48929986357688904
29,0.3774668133073999,0.4239060580730438,0.00015,0.488988995552063
30,0.3757489071797955,0.4236471652984619,7.5e-05,0.4886811673641205
31,0.37574413834616194,0.4249638020992279,7.5e-05,0.4885174632072449
32,0.37369908126749735,0.4258061647415161,7.5e-05,0.488353431224823
33,0.3719398956890254,0.426290363073349,7.5e-05,0.488199383020401
34,0.37055890504703964,0.4270065128803253,7.5e-05,0.48804721236228943
35,0.3722547532976136,0.42717862129211426,7.5e-05,0.48789313435554504
36,0.37054252601409143,0.4261944591999054,3.75e-05,0.487736314535141
37,0.3702198551144711,0.4261413812637329,3.75e-05,0.487659752368927
38,0.37055998994398487,0.42678216099739075,3.75e-05,0.48758718371391296
