epoch,train_loss,val_loss,learning_rate,fusion_weight
1,0.8042007758635883,0.5965670347213745,0.0003,0.5006676912307739
2,0.7451616400896117,0.5835824012756348,0.0003,0.5012720227241516
3,0.6964495117350142,0.5715786218643188,0.0003,0.5017232894897461
4,0.6531764897265175,0.558140754699707,0.0003,0.5019168257713318
5,0.6161173429600028,0.5427873134613037,0.0003,0.5018314719200134
6,0.5835949713869613,0.5244212746620178,0.0003,0.5015109181404114
7,0.5554295085197272,0.5036891102790833,0.0003,0.5009993314743042
8,0.5308815305547196,0.48387962579727173,0.0003,0.5003950595855713
9,0.5078997524209725,0.4672587811946869,0.0003,0.4997521638870239
10,0.4913216073845708,0.4523688554763794,0.0003,0.4991047978401184
11,0.47235848552496856,0.44032302498817444,0.0003,0.49841418862342834
12,0.4592919659244922,0.43213313817977905,0.0003,0.4977405071258545
13,0.4488374646319899,0.42465612292289734,0.0003,0.49709221720695496
14,0.4378223340640696,0.418180912733078,0.0003,0.4964869022369385
15,0.4286330508631329,0.4168406128883362,0.0003,0.495897501707077
16,0.4230544927508332,0.4160388708114624,0.0003,0.49531152844429016
17,0.4148928864981777,0.4154761731624603,0.0003,0.4947526752948761
18,0.41077295061229735,0.41598188877105713,0.0003,0.49417710304260254
19,0.40484047721522726,0.4158017635345459,0.0003,0.49357062578201294
20,0.40057190906169804,0.4189082980155945,0.0003,0.4929606020450592
21,0.3956330755884333,0.4195348620414734,0.0003,0.4923674464225769
22,0.3915962422078894,0.4204721748828888,0.0003,0.49176937341690063
23,0.3888683067273724,0.42121124267578125,0.00015,0.49118679761886597
24,0.3841767248719238,0.4214056134223938,0.00015,0.4908815324306488
25,0.382147737944773,0.4226572513580322,0.00015,0.49058017134666443
26,0.37975747825563416,0.42414072155952454,0.00015,0.49027344584465027
27,0.37796063247577166,0.4241032004356384,0.00015,0.4899511933326721
28,0.37830414675002877,0.42639729380607605,0.00015,0.48964181542396545
29,0.37664210727048475,0.42712152004241943,7.5e-05,0.4893260896205902
30,0.3741283802561058,0.4277190864086151,7.5e-05,0.4891670346260071
31,0.3747998466787412,0.4281357228755951,7.5e-05,0.4890163540840149
32,0.371626791796943,0.4294562339782715,7.5e-05,0.48886826634407043
33,0.37091309825579327,0.4319073557853699,7.5e-05,0.4887238144874573
34,0.37140705627064374,0.43210768699645996,7.5e-05,0.48857569694519043
35,0.3711939772894216,0.4320381283760071,3.75e-05,0.48842161893844604
36,0.37048449812009354,0.4320809543132782,3.75e-05,0.4883441627025604
37,0.3689046855582747,0.4319053590297699,3.75e-05,0.48826122283935547
