model,horizon,seed,mse_raw,mae_raw,mse_kwh2,mae_kwh,fusion_weight,best_epoch,best_val_loss,elapsed_seconds
deitransformer,365,42,173738.31891971416,324.3513913327736,48.260644144365045,5.4058565222128925,0.4948228895664215,16,0.4181191623210907,5.998856782913208
deitransformer,365,52,173441.30458957262,322.8787584564817,48.17814016377018,5.381312640941361,0.4947526752948761,17,0.4154761731624603,5.384168863296509
deitransformer,365,62,175606.95538794427,327.918793396673,48.779709829984526,5.465313223277883,0.4873080253601074,45,0.421075701713562,7.260920286178589
deitransformer,365,72,164776.42073847612,314.0920053014886,45.771227982910034,5.234866755024809,0.4956608712673187,16,0.39732232689857483,4.031452178955078
deitransformer,365,82,169282.58225626705,318.05182570841345,47.02293951562974,5.300863761806891,0.49388495087623596,18,0.4114680886268616,4.307576894760132
