model,horizon,seed,mse_raw,mae_raw,mse_kwh2,mae_kwh,fusion_weight,best_epoch,best_val_loss,elapsed_seconds
deitransformer,90,42,157657.23987733998,316.7715977290799,43.793677743705544,5.279526628817998,0.5017975568771362,3,0.3166448175907135,8.31126093864441
deitransformer,90,52,208932.19011671652,356.84376176682673,58.03671947686568,5.947396029447111,0.4905267059803009,24,0.30503806471824646,11.439904689788818
deitransformer,90,62,164679.42767882356,322.8091082336202,45.744285466339875,5.380151803893669,0.5021510720252991,3,0.35400721430778503,6.353301048278809
deitransformer,90,72,205761.03431444202,361.3967034638045,57.15584286512278,6.023278391063406,0.5021767020225525,2,0.3915044963359833,6.068170785903931
deitransformer,90,82,164022.7150494898,316.1318299162086,45.561865291524946,5.268863831936809,0.49852046370506287,14,0.3350050151348114,8.993330955505371
