epoch,train_loss,val_loss,learning_rate
1,0.7775838578394217,0.5985317826271057,0.0003
2,0.7336383180100788,0.5855041742324829,0.0003
3,0.71257582191349,0.5755739808082581,0.0003
4,0.6882668243822201,0.5558426380157471,0.0003
5,0.6621778736742892,0.5312274098396301,0.0003
6,0.6324121485384859,0.5113412737846375,0.0003
7,0.6049093239067137,0.4953591525554657,0.0003
8,0.5812563540399537,0.4820560812950134,0.0003
9,0.5587005319521409,0.46981966495513916,0.0003
10,0.5361294044080631,0.46460196375846863,0.0003
11,0.5223447042842244,0.4549033045768738,0.0003
12,0.5102417871009471,0.45151379704475403,0.0003
13,0.495898902647255,0.44803521037101746,0.0003
14,0.48832357807676924,0.4459340274333954,0.0003
15,0.47942830333414005,0.44256195425987244,0.0003
16,0.47232792289682135,0.4439144730567932,0.0003
17,0.4692911052888678,0.4418628513813019,0.0003
18,0.4626783894938092,0.4381731450557709,0.0003
19,0.4591422076373137,0.43844717741012573,0.0003
20,0.45312660424284235,0.4412529170513153,0.0003
21,0.4509341467258542,0.4406249225139618,0.0003
22,0.44792386427406194,0.4443152844905853,0.0003
23,0.44655341556829997,0.447095662355423,0.0003
24,0.44214401711789214,0.44548073410987854,0.00015
25,0.444093141213868,0.44649919867515564,0.00015
26,0.44000759720802307,0.4468604624271393,0.00015
27,0.4383920271729314,0.4445677101612091,0.00015
28,0.43755755798761237,0.445218950510025,0.00015
29,0.43746461701947587,0.4468068778514862,0.00015
30,0.43857153025708456,0.45118266344070435,7.5e-05
31,0.4364867376726727,0.4518125355243683,7.5e-05
32,0.4341558800187222,0.4511764347553253,7.5e-05
33,0.4341994704202164,0.450754851102829,7.5e-05
34,0.43320285696391914,0.4500543475151062,7.5e-05
35,0.43241371295248815,0.4496900141239166,7.5e-05
36,0.43147905760033184,0.44925349950790405,3.75e-05
37,0.4299918882144514,0.4482599198818207,3.75e-05
38,0.4325894983701928,0.4483482539653778,3.75e-05
