epoch,train_loss,val_loss,learning_rate
1,0.7622214176858119,0.596316397190094,0.0003
2,0.7236291849335958,0.5820756554603577,0.0003
3,0.7007630019224891,0.5675106048583984,0.0003
4,0.6736991650374361,0.5511183738708496,0.0003
5,0.6454896866813187,0.5317197442054749,0.0003
6,0.6147192166757214,0.511703610420227,0.0003
7,0.585747035436852,0.4946516156196594,0.0003
8,0.5623649372610935,0.47852766513824463,0.0003
9,0.5418242174525594,0.4647127091884613,0.0003
10,0.5218841803166293,0.4555256962776184,0.0003
11,0.5059459507465363,0.44905075430870056,0.0003
12,0.49648434894029486,0.44453468918800354,0.0003
13,0.48600248102993926,0.43917006254196167,0.0003
14,0.47807745716368505,0.43582451343536377,0.0003
15,0.4744112542433332,0.43575984239578247,0.0003
16,0.46881143344465154,0.43463829159736633,0.0003
17,0.4601644783519035,0.435691237449646,0.0003
18,0.4595960900765057,0.43307915329933167,0.0003
19,0.4561854233575422,0.4333462417125702,0.0003
20,0.45171080240907596,0.4372501075267792,0.0003
21,0.4492884934410568,0.4362477958202362,0.0003
22,0.44691475486570553,0.4349476099014282,0.0003
23,0.4452608031357906,0.43287020921707153,0.0003
24,0.44170394609140795,0.4339909851551056,0.0003
25,0.4387647828390432,0.43365442752838135,0.0003
26,0.436831043672192,0.43407368659973145,0.0003
27,0.43620535823725914,0.43594080209732056,0.0003
28,0.43495028356249016,0.44015026092529297,0.0003
29,0.43176271194635435,0.43428438901901245,0.00015
30,0.43100368537644085,0.4370056390762329,0.00015
31,0.4294352771699891,0.43876996636390686,0.00015
32,0.427320810944535,0.43925443291664124,0.00015
33,0.42719693401063136,0.44022485613822937,0.00015
34,0.42755349246106406,0.43941956758499146,0.00015
35,0.42435837207838545,0.4416838586330414,7.5e-05
36,0.42541200638741483,0.4428863227367401,7.5e-05
37,0.42559891246085946,0.43999823927879333,7.5e-05
38,0.42445917739424593,0.438527911901474,7.5e-05
39,0.42296705181284466,0.43811044096946716,7.5e-05
40,0.4246324446312217,0.43973076343536377,7.5e-05
41,0.4232688285121622,0.43921858072280884,3.75e-05
42,0.42113089307334073,0.43883341550827026,3.75e-05
43,0.4219562979631646,0.4386278986930847,3.75e-05
