epoch,train_loss,val_loss,learning_rate
1,0.7234865755073784,0.5442461371421814,0.001
2,0.5810996183129244,0.4409995973110199,0.001
3,0.49172589298366576,0.4283997416496277,0.001
4,0.4552456281443899,0.424207478761673,0.001
5,0.43819705090781513,0.41982054710388184,0.001
6,0.4270721070988234,0.41640767455101013,0.001
7,0.4181533395781998,0.41614818572998047,0.001
8,0.41098217793213304,0.43279749155044556,0.001
9,0.4029353457365849,0.44528061151504517,0.001
10,0.3960472821265228,0.4419415295124054,0.001
11,0.3908307000186092,0.48282355070114136,0.001
12,0.38314150423966636,0.4638564884662628,0.001
13,0.3818488726320193,0.49612846970558167,0.0005
14,0.3759294057539267,0.4852220118045807,0.0005
15,0.37255681531373847,0.4725284278392792,0.0005
16,0.37123308001562605,0.48457542061805725,0.0005
17,0.36806909867035326,0.47376492619514465,0.0005
18,0.3653976910336073,0.4742145836353302,0.0005
19,0.36475777949473653,0.4857361912727356,0.00025
20,0.363276214793671,0.49341723322868347,0.00025
21,0.3615585736526075,0.47449374198913574,0.00025
22,0.3612568200558655,0.4737795889377594,0.00025
23,0.3580763612606729,0.46884217858314514,0.00025
24,0.35870676655177924,0.4694039523601532,0.00025
25,0.3574055518752845,0.46989011764526367,0.000125
26,0.3557958831620771,0.4711894392967224,0.000125
27,0.3541595060233922,0.47345757484436035,0.000125
