epoch,train_loss,val_loss,learning_rate
1,0.621776549532862,0.6242732405662537,0.001
2,0.4754482897201387,0.755841076374054,0.001
3,0.4442353260399091,0.6746063232421875,0.001
4,0.4243084218832526,0.9054477214813232,0.001
5,0.412892208831145,1.0384085178375244,0.001
6,0.3958923400628685,0.9657491445541382,0.001
7,0.38381641837629943,0.9962118864059448,0.0005
8,0.369396033558515,0.9891696572303772,0.0005
9,0.36214911642641123,1.0106291770935059,0.0005
10,0.35505493590147186,0.9611966013908386,0.0005
11,0.34871447499435726,0.9656118750572205,0.0005
12,0.34086572858366637,1.0267549753189087,0.0005
13,0.3370992851139295,0.9303950071334839,0.00025
14,0.3293452268779868,1.0336034297943115,0.00025
15,0.32889880166195407,1.0226470232009888,0.00025
16,0.32626465523597037,1.0608789920806885,0.00025
17,0.3223703916710202,1.098331093788147,0.00025
18,0.3201817631131352,1.084680199623108,0.00025
19,0.3184231354458497,1.0893958806991577,0.000125
20,0.3155802396854552,1.1375607252120972,0.000125
21,0.31485615950999873,1.175615668296814,0.000125
