model,horizon,seed,mse,mae,best_epoch,best_val_loss,elapsed_seconds
LSTM,90,42,176663.97639684798,332.2005625327927,2,0.5631065964698792,4.517932653427124
LSTM,90,52,151049.1630644677,309.33292075552407,1,0.5007832050323486,3.1490478515625
LSTM,90,62,177764.30053844716,329.27885213908354,1,0.6522300243377686,3.1651408672332764
LSTM,90,72,174114.27084547514,327.550295452779,2,0.5496843457221985,3.254957675933838
LSTM,90,82,149339.24733620716,301.4395974497814,1,0.6242732405662537,3.164682388305664
