model,horizon,seed,mse,mae,best_epoch,best_val_loss,elapsed_seconds
LSTM,365,42,176837.76833956406,323.45904123022075,7,0.41614818572998047,2.4795851707458496
LSTM,365,52,178728.07335482383,327.41447004949697,4,0.39241284132003784,1.7027196884155273
LSTM,365,62,174511.39047221106,326.06439698733305,10,0.41563642024993896,1.9269509315490723
LSTM,365,72,174534.71007770035,327.4746834627554,12,0.4114431142807007,2.0087168216705322
LSTM,365,82,197497.57557125928,352.0278912842374,11,0.42911794781684875,2.023681163787842
